url,uuid,file,summary,paper_title,year,source,camera_modality,visual_feature_types,impairment_type,real_time_capability,sample_size,environment,primary_accuracy_metric,relevance_score,relevance_reason,details_json
https://arxiv.org/pdf/2209.01657,f7f12a3e-78ff-4f1d-944b-d5e9b8215fb5,f7f12a3e-78ff-4f1d-944b-d5e9b8215fb5.json,"This paper presents a novel method for detecting alcohol consumption using periocular near-infrared (NIR) images and a Fused Capsule Network (F-CapsNet) architecture. The approach leverages changes in iris and pupil dynamics caused by alcohol's effects on the central nervous system. A new dataset of 3,000 NIR images from 30 volunteers (with and without alcohol) was collected under controlled conditions. The proposed F-CapsNet achieved a high accuracy of 92.3%, outperforming traditional CNN and SVM baselines, and is suitable for real-time and mobile deployment due to its reduced parameter count. The study demonstrates the feasibility of camera-based, real-time alcohol impairment detection using NIR imaging.",Alcohol Consumption Detection from Periocular NIR Images Using Capsule Network,2022,ICPR 2022 / arXiv:2209.01657,IR/NIR,Eye,alcohol,Yes (architecture designed for real-time and mobile deployment),"30 subjects, 3,000 NIR images (expanded to 12,000 with augmentation)","Controlled indoor environment (constant lighting, fixed camera distances, NIR sensors)",Accuracy (92.3% with F-CapsNet),⭐⭐⭐,"Directly addresses real-time alcohol impairment detection using NIR camera images and advanced deep learning, with a new dataset and high reported accuracy.","{""dataset"": {""name"": ""IAL-I"", ""availability"": ""Available upon request"", ""composition"": ""30 volunteers (24 male, 6 female), ages 25-50, 5 sessions (pre- and post-alcohol at 15, 30, 45, 60 min), 10 images per eye per session"", ""capture_devices"": ""TD-100 and Iritech NIR cameras"", ""protocol"": ""Controlled lighting (200 lux), fixed distances (30cm, 50cm), 200ml alcohol (42%) consumed, images captured at intervals""}, ""algorithm"": {""name"": ""Fused Capsule Network (F-CapsNet)"", ""architecture"": ""Convolutional block for feature extraction per class, features fused and input to two-layer capsule network, decoder for regularization"", ""parameters"": ""9M (half of standard CapsNet)"", ""data_augmentation"": ""Rotation, shift, zoom (imgaug library), dataset expanded to 12,000 images per eye""}, ""comparisons"": [{""method"": ""SVM"", ""accuracy"": ""63.5%""}, {""method"": ""Small-VGG CNN"", ""accuracy"": ""73.4%""}, {""method"": ""ArcFace embedding + SVM"", ""accuracy"": ""73.0%""}, {""method"": ""ResNet50"", ""accuracy"": ""73.8%""}, {""method"": ""Traditional CapsNet"", ""accuracy"": ""91.3%""}, {""method"": ""F-CapsNet"", ""accuracy"": ""92.3%""}], ""feature_analysis"": {""manual_features"": ""Pupil/iris radius ratio (p), not sufficient alone for classification"", ""deep_features"": ""CNN and F-CapsNet focus on iris and periocular regions; GradCAM++ used for visualization""}, ""limitations"": [""Only NIR images; no multi-modal fusion"", ""Sample size moderate (30 subjects)"", ""Controlled environment; real-world generalization not tested""], ""potential_applications"": [""Fitness for Duty (FFD) assessment"", ""Workplace safety (mining, logistics, health)"", ""Mobile/embedded real-time impairment detection""]}"
https://arxiv.org/pdf/2304.11858,97fe60ab-8c49-460d-a3a4-bcb0873af3e8,97fe60ab-8c49-460d-a3a4-bcb0873af3e8.json,"This paper presents a CNN-LSTM approach for classifying fitness-for-duty (FFD) status using temporal sequences of near-infrared (NIR) periocular images. The system detects impairment due to alcohol, drugs, and sleepiness by analyzing spatial and temporal features of the iris and periocular region. Evaluated on a large dataset (FFD-NIR-Seq) with 980 subjects, the method achieves high accuracy, especially for alcohol and drug impairment, and demonstrates potential for real-time, non-invasive workplace screening.",Fitness-for-Duty Classification using Temporal Sequences of Iris Periocular images,2023,"arXiv:2304.11858v1 [cs.CV], IEEE",IR/NIR,Eye,"alcohol, cannabis, general impairment, fatigue",Potential for real-time; not explicitly demonstrated but model is lightweight and designed for practical deployment,"980 subjects; 132,555 image sequences (8 frames each)",Controlled indoor environment; subjects standing in front of NIR camera,"Precision (Fit: 81.4%, Unfit: 96.9%), Overall accuracy: 88.3%, EER for sleepiness: 18.6%",⭐⭐⭐,"Highly relevant: Uses NIR camera for real-time-capable visual detection of alcohol, drug, and fatigue impairment via eye/iris dynamics; large dataset and state-of-the-art deep learning approach.","{""dataset"": {""name"": ""FFD-NIR-Seq"", ""composition"": ""980 subjects, 4 classes (control, alcohol, drug, sleep), 75-150 frames per subject, 15 fps, 630x360 px images"", ""public_availability"": ""Not specified""}, ""model_architecture"": {""cnn"": ""VGG16-inspired, extracts spatial features from each frame"", ""lstm"": ""2-layer LSTM, 32 hidden units, captures temporal dependencies across 8-frame sequences"", ""input_shape"": ""8x210x140x3 (sub-sequence of 8 frames, resized)"", ""framework"": ""TensorFlow""}, ""classification_labels"": [""Control (fit)"", ""Alcohol (unfit)"", ""Drug (unfit)"", ""Sleep (unfit)""], ""metrics"": {""fit_precision"": ""81.4%"", ""unfit_precision"": ""96.9%"", ""alcohol_accuracy"": ""90.6%"", ""drug_accuracy"": ""100%"", ""sleep_accuracy"": ""51.6%"", ""overall_accuracy"": ""88.3%"", ""EER_sleep"": ""18.6%"", ""FNR10_sleep"": ""22.5%"", ""FNR20_sleep"": ""25.3%""}, ""limitations"": [""Sleepiness is harder to detect (lower accuracy)"", ""Some overlap between impairment classes (e.g., alcohol and sleepiness)"", ""No explicit real-time deployment, but model is lightweight"", ""Non-visual methods (e.g., ECG) mentioned only as comparison""], ""deployment_notes"": {""hardware"": ""Standard NIR iris camera"", ""processing"": ""Batch processing of 8-frame sequences; model designed for efficiency"", ""future_work"": ""Mobile/embedded deployment, improved sleepiness detection, sequence-based data augmentation""}}"
https://ijsart.com/public/storage/paper/pdf/IJSARTV10I489706.pdf,a0b2fd86-bf88-4c6a-b43d-47a6659aed48,a0b2fd86-bf88-4c6a-b43d-47a6659aed48.json,"This paper proposes an automated system for detecting drug-induced impairment by analyzing eye images using image processing and deep learning (CNNs). The approach focuses on segmenting and highlighting reddish areas in the sclera, which are indicative of drug consumption. The system is designed for rapid, accurate detection and aims to reduce reliance on manual expert observation. While the paper emphasizes real-time capability and practical deployment, it does not specify the exact dataset size or provide quantitative accuracy metrics.",Drugged Eye Detection Using Image Processing,2024,IJSART - Volume 10 Issue 4 – APRIL 2024,RGB,Eye,"general impairment, mixed",Claimed (few seconds per result),Not specified,Not specified (implied general/industrial use),Not specified (claims high accuracy),⭐⭐,"The paper directly addresses camera-based visual detection of drug-induced impairment using deep learning and image processing, focusing on eye features. However, lack of quantitative results, sample size, and real-world deployment details limits its top relevance.","{""methodology"": {""preprocessing"": ""Image resizing, noise reduction"", ""segmentation"": ""CNN-based segmentation to isolate reddish/infected eye regions"", ""feature_extraction"": ""Extraction of features from segmented eye regions"", ""classification"": ""CNN-based classification to detect drugged eyes""}, ""claimed_advantages"": [""High accuracy"", ""Rapid detection (few seconds)"", ""Works with low and high pixel images"", ""Reduces need for expert consultation""], ""limitations"": [""No quantitative accuracy or sample size reported"", ""No real-world deployment or dataset details"", ""Focuses only on visual (RGB) features; does not address other camera modalities""], ""future_work"": [""Web integration for broader deployment"", ""Incorporation of additional machine learning algorithms""], ""application_context"": ""Aimed at industrial and public health settings for rapid, automated detection of drug-induced impairment via eye analysis""}"
https://arxiv.org/pdf/2209.01683,a90b5ebf-0f17-4a72-bbc8-7bdd6f1223da,a90b5ebf-0f17-4a72-bbc8-7bdd6f1223da.json,"This paper presents a deep learning-based method for detecting fitness for duty (FFD) impairments (alcohol, drugs, sleep deprivation) using near-infrared (NIR) periocular iris images. The authors introduce a new NIR iris image database and propose a modified MobileNetV2 architecture to classify subjects as Fit or Unfit based on visual features related to iris and pupil dynamics. The system achieves high accuracy, especially for alcohol and drug-induced impairment, and demonstrates potential for real-time, contactless, camera-based impairment detection in industrial and safety-critical environments.",Learning to Predict Fitness for Duty using Near Infrared Periocular Iris Images,2022,"arXiv:2209.01683v1 [cs.CV], submitted to Journal of LaTeX Class Files",IR/NIR,Eye,"alcohol, cannabis, general impairment, fatigue",Yes (designed for real-time/near real-time operation on standard NIR iris capture devices),"1,510 eye-disjoint subjects, 144,011 images (average 150 images per subject)","Controlled indoor environment (constant lighting, 200 lux); industrial/laboratory setting","Detection accuracy (91.3% for alcohol, 99.1% for drugs, 72.4% for sleepiness); EER (as low as 7.6% for alcohol)",⭐⭐⭐,"Highly relevant: Uses NIR camera images for real-time detection of alcohol, drug, and fatigue impairment via visual analysis of iris/pupil dynamics. Large dataset, robust evaluation, and explicit focus on camera-based, contactless impairment detection.","{""database"": {""name"": ""FFD NIR iris images Stream database (FFD-NIR-Stream)"", ""availability"": ""Available upon request for research purposes"", ""devices"": [""Iritech MK2120UL (monocular)"", ""iCAM TD-100A"", ""Iritech Gemini"", ""Iritech Gemini-Venus""], ""conditions"": [""Control (no impairment)"", ""Alcohol (200ml, 42% concentration, multiple time points)"", ""Drugs (mainly cannabis, some tranquilizers, heroin, ecstasy)"", ""Sleep deprivation (various levels, monitored by smart band)""], ""image_type"": ""Periocular NIR images (both eyes, iris, pupil, sclera)""}, ""method"": {""architecture"": ""Modified MobileNetV2 (trained from scratch and fine-tuned variants)"", ""input"": ""Cropped periocular NIR images (448x448 px)"", ""feature_extraction"": ""Automatic via MobileNetV2; focus on iris and pupil dynamics"", ""classification"": ""Multi-class (Fit, Alcohol, Drug, Sleepiness); also binary Fit/Unfit""}, ""data_processing"": {""preprocessing"": ""Contrast-limited adaptive histogram equalization (CLAHE)"", ""data_augmentation"": ""Three-level DA: blurring, Gaussian noise, occlusion, zoom, etc."", ""class balancing"": ""Weighted loss function to address class imbalance""}, ""evaluation"": {""metrics"": [""Detection accuracy"", ""Equal Error Rate (EER)"", ""False Positive Rate (FPR)"", ""False Negative Rate (FNR)"", ""DET curves""], ""results"": {""alcohol"": ""91.3% accuracy, EER 7.6%"", ""drugs"": ""99.1% accuracy, EER 10.01%"", ""sleepiness"": ""72.4% accuracy, EER 15.24%"", ""Fit/Unfit (binary)"": ""94.0% (Fit), 84.0% (Unfit)""}}, ""limitations"": [""Sleepiness detection is more challenging and less accurate than alcohol/drug detection."", ""Non-visual methods (e.g., EEG, PVT) are discussed in related work but not used in this approach."", ""Database is controlled; real-world deployment may face additional challenges.""], ""deployment"": {""hardware_requirements"": ""Standard NIR iris capture devices; designed for mobile/embedded use"", ""potential_applications"": [""Industrial safety"", ""Transportation (drivers, pilots)"", ""Workplace fitness-for-duty screening""]}, ""future_work"": [""Expand sleepiness dataset"", ""Explore R-CNN and LSTM for temporal sequence modeling"", ""Real-world field trials""]}"
https://www.researchgate.net/publication/228522740_Iris_Recognition_under_Alcohol_Influence_A_Preliminary_Study,b3386a33-bbd0-463c-890b-2c186f7376f4,b3386a33-bbd0-463c-890b-2c186f7376f4.json,"This paper investigates the impact of alcohol consumption on iris recognition performance using near-infrared (NIR) imaging. The authors introduce the IIITD Iris Under Alcohol Influence (IUAI) database, containing pre- and post-alcohol iris images from 55 subjects. They analyze changes in pupil dilation/constriction and demonstrate that alcohol-induced changes can significantly affect iris recognition accuracy, with about 20% increased overlap between genuine and impostor match score distributions. The study highlights the vulnerability of iris biometrics to alcohol-induced physiological changes and suggests the need for next-generation systems to address this covariate.",Iris Recognition under Alcohol Influence: A Preliminary Study,2012,International Conference on Image Processing (ICIP),IR/NIR,Eye,alcohol,"No (offline analysis, but methods could be adapted for real-time)","55 subjects (110 unique irises, 220 pre- and 220 post-alcohol images)","Semi-controlled (constant room temperature and lighting, NIR iris scanner)","Verification accuracy (e.g., 97.7% for pre-post alcohol images with VeriEye); overlap in match score distributions; ROC curves",⭐⭐,"Directly studies visual (NIR) features for alcohol-induced impairment, but focuses on biometric vulnerability rather than real-time intoxication detection. No real-time implementation, but provides foundational insights for camera-based detection.","{""database"": ""IIITD Iris Under Alcohol Influence (IUAI) database; 55 subjects, 110 irises, images captured pre- and post-alcohol consumption (200ml, 42% alcohol, 15-20 min after consumption)."", ""imaging_device"": ""Vista iris scanner (NIR domain)."", ""feature_extraction"": ""Elliptical modeling of pupil and iris boundaries; calculation of dilation/constriction extent."", ""algorithms"": [""2D log polar Gabor wavelet feature encoding + SVM matching (Vatsa et al. 2008)"", ""VeriEye commercial iris recognition system""], ""key_findings"": [""Alcohol led to pupil dilation in ~51% and constriction in ~49% of cases."", ""About 28% of cases showed extent of change outside tolerance, reducing recognition confidence."", ""Overlap between genuine and impostor match score distributions increased by ~20% for pre-post alcohol comparisons."", ""Verification accuracy dropped slightly for pre-post alcohol images (e.g., VeriEye: 99.1% pre-pre, 98.6% post-post, 97.7% pre-post).""], ""limitations"": [""No real-time detection; focus is on biometric system vulnerability."", ""Only NIR imaging; no RGB or other modalities."", ""Small sample size; results are preliminary.""], ""potential_applications"": [""Could inform real-time intoxication detection by monitoring pupil dynamics with NIR cameras."", ""Highlights need for robustness in biometric systems under substance influence.""]}"
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9502109,3d585578-d19a-4a25-8fb9-6ef623ffc384,3d585578-d19a-4a25-8fb9-6ef623ffc384.json,"This paper presents a novel framework for detecting and segmenting periocular regions in near-infrared (NIR) eye images to assess alcohol-induced impairment. The approach leverages lightweight deep learning models (DenseNet10 and CCNet) for real-time semantic segmentation of the iris and pupil, enabling precise measurement of pupil and iris diameters. A large, manually labeled NIR eye image dataset under alcohol and non-alcohol conditions was created for this study. The system demonstrates high segmentation accuracy and is suitable for real-time deployment on mobile or embedded devices, making it highly relevant for camera-based intoxication detection.",Semantic Segmentation of Periocular Near-Infra-Red Eye Images Under Alcohol Effects,2021,"IEEE Access, DOI: 10.1109/ACCESS.2021.3101256",IR/NIR,Eye,alcohol,"Yes (lightweight models, suitable for real-time on embedded/mobile devices)","266 subjects (alcohol), 765 subjects (no alcohol), >21,000 images",Controlled indoor environment with constant lighting and temperature; NIR sensors at 30–50 cm distance,Mean Intersection-over-Union (IoU) of 94.54% (DenseNet10); pupil/iris localization error <1 pixel,⭐⭐⭐,"The study directly addresses real-time, camera-based detection of alcohol impairment using NIR imaging and visual features, with a large dataset, high accuracy, and practical deployment considerations.","{""dataset"": {""description"": ""Manually labeled NIR eye image database with >21,000 images, including both alcohol and non-alcohol conditions."", ""sensors"": [""Iritech Gemini"", ""Iritech Venus""], ""image_size"": ""1280x760 pixels"", ""labeling"": ""Pupil, iris, and sclera manually annotated for both eyes.""}, ""segmentation_framework"": {""eye_detection"": ""Custom Eye-tiny-yolo (YOLO-based) detector for simultaneous detection of both eyes in periocular NIR images."", ""segmentation_models"": [""DenseNet10 (122,514 parameters)"", ""CCNet (Criss-Cross Attention Network, 210,732 parameters)"", ""DeepVOGv2 (for comparison)""], ""data_augmentation"": ""Aggressive non-geometric augmentation (noise, blur, corruption) to improve robustness.""}, ""feature_extraction"": {""pupil/iris localization"": ""Mass Center, Least-Mean-Squares (LMS), and Mixed approaches for precise circle fitting."", ""metrics"": ""Pupil-iris ratio, temporal dynamics over 100 frames per subject.""}, ""impairment detection"": {""alcohol_behavior_curve"": ""Grand mean analysis of pupil size over time to distinguish alcohol vs. non-alcohol groups."", ""challenges"": [""Variability in pupil response to alcohol"", ""Semi-closed eyes and eyelash occlusion"", ""Motion blur due to subject instability""]}, ""limitations"": [""No gender analysis performed"", ""No direct blood alcohol measurement; relies on visual/behavioral cues""], ""deployment"": {""hardware"": ""Tested on GPU workstations; models designed for low memory footprint suitable for embedded/mobile NIR sensors."", ""real_time"": ""Segmentation and detection pipeline designed for real-time operation.""}, ""comparison"": {""baselines"": [""Osiris (parametric, fails under alcohol-induced pupil changes)"", ""DeepVOG (pretrained, lower accuracy than custom models)""]}, ""future_work"": [""Public release of the NIR alcohol eye image database"", ""Extension to general fitness-for-duty assessment using regular NIR iris sensors""]}"
https://pmc.ncbi.nlm.nih.gov/articles/PMC11748063/,80782a95-1c39-4ad8-bec1-02c4f632bc87,80782a95-1c39-4ad8-bec1-02c4f632bc87.json,"This clinical study evaluated the feasibility of using consumer-grade smartphone cameras to detect intoxication from four drug classes (oxycodone, lorazepam, lisdexamphetamine, and cannabis) in healthy volunteers. By analyzing eye reactions—specifically pupillary light reflex, convergence, nystagmus, and scleral redness—under controlled lighting, the study demonstrated that distinct, drug-specific ocular patterns can be reliably captured and quantified using AI-based video analysis. The approach shows strong promise for real-time, self-administered, camera-based impairment detection, though further validation in real-world and polysubstance scenarios is needed.",Eye reactions under the influence of drugs of abuse as measured by smartphones: a controlled clinical study in healthy volunteers,2025,Frontiers in Neuroscience,RGB,Eye,"opioids, benzodiazepines, cannabis, central stimulants","Yes (5–10 min per test, AI-based video analysis on smartphone)",48 (12 per drug group),"Controlled indoor laboratory, two ambient light levels (~50 lux, ~500 lux)","Statistical significance (Wilcoxon rank test, p < 0.01 for all drugs vs. baseline); 87–97% of video data yielded usable features",⭐⭐⭐,"Directly demonstrates real-time, camera-based intoxication detection for multiple drug classes using consumer smartphones, with robust feature extraction and statistical validation.","{""study_design"": ""Randomized, parallel, open-label feasibility trial; single center; healthy volunteers; controlled dosing of four drug classes."", ""camera_devices"": [""Samsung S22"", ""iPhone 13 mini""], ""app_platform"": ""Previct Drugs App (Kontigo Care AB), with AI-based video analysis and voice guidance."", ""eye_tests"": [""Pupillary Light Reflex (PLR) using back camera and phone flashlight"", ""Non-convergence (NC) using front camera"", ""Horizontal Nystagmus (NY) using front camera""], ""feature_extraction"": ""AI models (initial and refined) extracted 24 key features per test, including pupil size, contraction velocity, latency, convergence, nystagmus count/mass, and scleral redness."", ""ambient_light_control"": ""Two lighting conditions (~50 lux and ~500 lux) with smart lighting and luminometer validation."", ""statistical_analysis"": ""Wilcoxon rank test for baseline vs. intoxicated state; discriminant principal component analysis (PCA) for feature separation."", ""drug_doses"": {""oxycodone"": ""20 mg oral"", ""lorazepam"": ""2 mg oral"", ""lisdexamphetamine"": ""70 mg oral (metabolized to ~20 mg dexamphetamine)"", ""cannabis"": ""65 mg inhaled (22% THC, ~5 mg bioavailable)""}, ""test_duration"": ""Each self-administered test took 5–10 minutes; three tests per session."", ""data_quality"": ""87–97% of acquired videos yielded usable features; failures mostly due to inability to keep eyes open (e.g., with lorazepam)."", ""key_findings"": {""oxycodone"": ""Significant pupil constriction (miosis), effect lasting at least 5h."", ""lorazepam"": ""Impaired convergence (non-convergence), some nystagmus."", ""lisdexamphetamine"": ""Significant pupil dilation (mydriasis)."", ""cannabis"": ""Miosis, reduced light-induced amplitude, increased scleral redness, some nystagmus.""}, ""limitations"": [""Controlled lab setting; not tested in real-world or outdoor environments."", ""Healthy volunteers, not SUD patients; only therapeutic doses."", ""No assessment of polysubstance use or chronic intoxication."", ""Ambient light must be measured and accounted for in models."", ""Indirect method—cannot legally confirm specific drug use without chemical analysis.""], ""usability"": ""98% of participants rated the app as positive or very positive for self-administration."", ""ethics"": ""Approved by METC-LDD, Netherlands; registered NCT05731999; informed consent obtained."", ""data_availability"": ""Clinical study data available at clinicaltrials.gov."", ""conflicts_of_interest"": ""Some authors are employees or patent holders related to Kontigo Care AB, the app developer.""}"
https://pmc.ncbi.nlm.nih.gov/articles/PMC8465466/,85a983ce-2881-4995-98ed-d46fe735af3b,85a983ce-2881-4995-98ed-d46fe735af3b.json,"This paper presents a deep learning-based method for detecting people with drug use disorders (PDUD) using facial images captured via standard RGB cameras. The study leverages a large dataset and transfer learning with a ResNet-18 CNN architecture to distinguish PDUD from the general population based on facial features. The model achieves high accuracy, sensitivity, and specificity, and is validated on external datasets simulating real-world clinical scenarios. The analysis also identifies specific facial regions (nose and cheeks) as being most indicative of drug use disorders. The approach is designed for rapid, non-invasive screening and could be integrated into clinical workflows or mobile applications.",A Method for Detecting and Analyzing Facial Features of People with Drug Use Disorders,2021,"Diagnostics (MDPI), https://doi.org/10.3390/diagnostics11091562",RGB,Facial Features,"general impairment, opioids, cannabis, stimulants, depressants, hallucinogens",Potential for real-time use; model designed for rapid screening and integration into clinical workflow or mobile apps,"9870 PDUD images, 19,567 general population images (training/test); 1677 PDUD and 50,000 GP images (external validation)","Clinical, primary care, emergency departments, mobile health app, internet-sourced videos/images","Accuracy (84.68% test, >83.69% external validation), Sensitivity (up to 87.93%), Specificity (up to 90.10%)",⭐⭐⭐,"Highly relevant: Uses standard RGB cameras for automated, real-time-capable visual detection of drug-related impairment, validated on large and diverse datasets, and provides quantitative analysis of facial features.","{""model_architecture"": ""ResNet-18 CNN with transfer learning and pre-trained on MS-Celeb-1M; attention mechanism explored but pre-training provided greater benefit."", ""feature_extraction"": ""Grad-CAM used for visualizing CNN attention; facial regions segmented (eyes, nose, cheeks, mouth) and quantitatively analyzed."", ""data_sources"": ""PDUD images/videos from a mobile health app (China), general population images/videos from the internet and public datasets."", ""preprocessing"": ""Face cropping, removal of occlusions, resizing to 224x224 pixels, data augmentation (color jitter, flipping, affine transforms)."", ""validation"": ""Seven external validation datasets constructed to simulate real-world prevalence and clinical scenarios."", ""statistical_analysis"": ""Chi-square tests used to compare feature distribution in facial regions between PDUD and general population."", ""deployment"": ""Model can be integrated into clinical workflows, mobile apps, or emergency department admission systems for rapid, non-invasive screening."", ""limitations"": ""No fine-grained categorization by drug type or duration of use; image quality may vary due to device hardware; non-visual methods not used."", ""ethics"": ""Ethics approval obtained; informed consent from all subjects."", ""funding"": ""Supported by National Natural Science Foundation of China and Beijing Advanced Discipline Construction Project.""}"
https://www.mdpi.com/2254-9625/12/9/99,18e28d3e-b36f-4b44-9db5-ddb80e21e878,18e28d3e-b36f-4b44-9db5-ddb80e21e878.json,"This study investigates emotion recognition abilities in individuals with alcohol and cocaine dependence using computer-based facial and body emotion recognition tasks, as well as a disgust rating task. The research uses visual stimuli (images of faces and bodies) to assess accuracy and reaction times in recognizing emotions. While the study provides insights into emotional processing deficits in substance abusers, it does not employ camera-based real-time detection or computer vision algorithms for intoxication detection, but rather uses pre-recorded images and manual response collection.",Decoding Emotion in Drug Abusers: Evidence for Face and Body Emotion Recognition and for Disgust Emotion,2022,"European Journal of Investigation in Health, Psychology and Education",RGB,Facial Features,"alcohol, cannabis, general impairment",No,"25 substance-dependent individuals (13 cocaine, 12 alcohol) and 33 controls",Controlled indoor laboratory/clinic setting,Accuracy and reaction time in emotion recognition tasks,⭐,"The study uses visual stimuli to assess emotional processing in substance abusers, but does not involve real-time camera-based detection or computer vision methods for intoxication/impairment detection. It relies on manual responses to pre-recorded images rather than automated or real-time analysis.","{""tasks"": [""Facial Emotion Recognition (FER) using Ekman and Friesen images (RGB photos of faces showing fear, sadness, happiness, anger)"", ""Body Emotion Recognition (BEAST) using BEAST dataset (RGB photos of body postures expressing emotions)"", ""Disgust Rating Task (DRT) using IAPS and internet images (various disgust categories: food, body products, animals, contamination, death, hygiene)""], ""metrics"": [""Percentage of correct answers (accuracy)"", ""Reaction time (ms)"", ""Inverse efficiency score (IES)""], ""findings"": {""emotion_recognition"": ""Substance-dependent individuals (alcohol, cocaine) were generally slower in recognizing emotions from faces and bodies compared to controls, but accuracy was not significantly different."", ""disgust_processing"": ""Alcohol-dependent subjects were slower in responding to disgusting food images."", ""gender_effects"": ""Cocaine-dependent females showed slower response times for certain emotions and disgust categories."", ""no_real_time"": ""All tasks were performed with pre-recorded images and manual keyboard responses; no real-time video or automated computer vision analysis was used.""}, ""limitations"": [""Small sample size"", ""No real-time or automated camera-based detection"", ""Manual response collection"", ""No use of computer vision algorithms""], ""ethics"": ""Approved by the Bioethics Committee of the Department of Brain and Behavioral Science of the University of Pavia; informed consent obtained.""}"
https://openaccess.thecvf.com/content/CVPR2024W/ABAW/papers/Dhake_Unravelling_Robustness_of_Deep_Face_Recognition_Networks_Against_Illicit_Drug_CVPRW_2024_paper.pdf,4132b73c-0592-4c57-9191-c45cbecf6430,4132b73c-0592-4c57-9191-c45cbecf6430.json,"This paper investigates the impact of illicit drug abuse on the robustness of deep face recognition networks using RGB images. It introduces a dataset of 'before' and 'after' drug abuse facial images, evaluates the performance drop in state-of-the-art face recognition and soft biometric (gender, ethnicity, expression) classifiers, and proposes CNN-based methods for detecting drug-altered faces. The study finds significant accuracy degradation in both identification and soft biometrics after drug abuse, and shows that simple image enhancement techniques are insufficient for mitigation. The work is highly relevant for real-time visual intoxication/impairment detection, especially in security and authentication contexts.",Unravelling Robustness of Deep Face Recognition Networks Against Illicit Drug Abuse Images,2024,CVPR Workshop / Computer Vision Foundation (Open Access),RGB,Facial Features,"general impairment, illicit drug abuse","Potential (methods are suitable for real-time, but not explicitly evaluated in real-time settings)","230 images (115 subjects, before and after drug abuse)","Unconstrained (in-the-wild, internet-sourced images)","Face identification accuracy (e.g., VGG-Face: 91.3% before, 73.9% after drug abuse); Soft biometrics accuracy; Drug abuse detection accuracy (DenseNet: 82%)",⭐⭐⭐,"Directly addresses visual detection of drug-induced impairment using camera-based facial analysis, evaluates both recognition and impairment detection, and proposes CNN-based solutions.","{""dataset"": {""name"": ""Drug Abuse Faces (DAF)"", ""composition"": ""115 subjects, each with 'before' (clean) and 'after' (post-drug) images"", ""privacy"": ""Faces blurred/eye strips for privacy""}, ""face recognition models evaluated"": [""VGG-Face"", ""ArcFace"", ""FaceNet"", ""OpenFace"", ""FaceNet512"", ""SFace"", ""DeepID""], ""performance_drop"": {""VGG-Face"": ""91.3% (before) → 73.9% (after)"", ""FaceNet"": ""84.3% (before) → 33.0% (after)""}, ""soft biometrics impact"": {""gender"": ""Accuracy drops from 83% (before) to 64% (after)"", ""ethnicity"": ""Significant drop in 'White' classification; some increases in other ethnicities"", ""expression"": ""Increase in sadness, anger, and disgust after drug abuse""}, ""image enhancement"": {""techniques"": [""Median blur"", ""Gaussian blur"", ""Morphological opening""], ""effectiveness"": ""Minimal improvement; Gaussian blur most effective but still limited""}, ""drug abuse detection"": {""traditional ML"": {""best_accuracy"": ""Decision Tree: 54%"", ""limitations"": ""Image pixels alone insufficient due to in-the-wild noise""}, ""CNN-based"": {""DenseNet"": ""82% accuracy, AUC-ROC 0.88"", ""VGG16+Random Forest"": ""78% accuracy""}}, ""social media filter robustness"": {""filters tested"": [""Inkwell"", ""Moon"", ""Xpro2"", ""Earlybird""], ""effect"": ""Significant further drop in recognition and detection accuracy for drug-altered faces""}, ""limitations"": [""Small dataset size"", ""No explicit real-time deployment or latency evaluation"", ""Focus on RGB only; no IR, NIR, or depth modalities""], ""future_work"": [""Expand dataset"", ""Develop advanced image enhancement for drug-induced alterations"", ""Explore synthetic data generation (e.g., diffusion models)""]}"
